[ 0  ], [ 0],[    2.00006666683333],[    0.0200002499975316],
[ 0.01  ], [ 0.0200020689665096],[    2.00039309428151],[    0.0473535305661539],
[ 0.02  ], [ 0.0400089371092091],[    2.0010395294023],[    0.0827005923032011],
[ 0.03  ], [ 0.060024097553705],[    2.00205665785569],[    0.12098387394295],
[ 0.04  ], [ 0.080051366669237],[    2.00346295490297],[    0.16036693998075],
[ 0.05  ], [ 0.100094677743239],[    2.0052653132396],[    0.200171566966504],
[ 0.06  ], [ 0.120158003011637],[    2.00746684604219],[    0.240098592316875],
[ 0.07  ], [ 0.140245343902514],[    2.01006787107009],[    0.280129277092784],
[ 0.08  ], [ 0.160360696239298],[    2.01306941252847],[    0.32017658509448],
[ 0.09  ], [ 0.18050806081889],[    2.01647216350186],[    0.360188418478457],
[ 0.1  ], [ 0.200691463860632],[    2.02027442720264],[    0.400352701797144],
[ 0.11  ], [ 0.220914897711062],[    2.02447812481841],[    0.440498917002806],
[ 0.12  ], [ 0.241182350251619],[    2.02908586356398],[    0.480389669361344],
[ 0.13  ], [ 0.261497889025727],[    2.03409245051915],[    0.520568299001291],
[ 0.14  ], [ 0.28186553641323],[    2.03949749883055],[    0.561100397883848],
[ 0.15  ], [ 0.302289239009485],[    2.04530853123714],[    0.601263194419015],
[ 0.16  ], [ 0.32277299470845],[    2.05152823493347],[    0.640817232195494],
[ 0.17  ], [ 0.34332097878346],[    2.05814175113795],[    0.681284854551879],
[ 0.18  ], [ 0.363937205067144],[    2.0651507941133],[    0.722529389141732],
[ 0.19  ], [ 0.384625505066285],[    2.0725757805815],[    0.762539227397451],
[ 0.2  ], [ 0.405390000379547],[    2.08040835772022],[    0.802190101668336],
[ 0.21  ], [ 0.426234907351682],[    2.08863096933311],[    0.843291323790211],
[ 0.22  ], [ 0.447164095705124],[    2.09726143588707],[    0.884090604563594],
[ 0.23  ], [ 0.468181554838243],[    2.10630596927995],[    0.9240051706488],
[ 0.24  ], [ 0.489291506118385],[    2.11574777230775],[    0.96477958388186],
[ 0.25  ], [ 0.510497911184787],[    2.12559682426923],[    1.00545282101759],
[ 0.26  ], [ 0.531804810995698],[    2.13585557850235],[    1.04582668750037],
[ 0.27  ], [ 0.553216346321603],[    2.14651682884584],[    1.08668748287223],
[ 0.28  ], [ 0.574736534979619],[    2.15758646714605],[    1.12749022728443],
[ 0.29  ], [ 0.596369430795135],[    2.16906730012541],[    1.16800442458413],
[ 0.3  ], [ 0.618119183357141],[    2.18095282935513],[    1.20895641498043],
[ 0.31  ], [ 0.639989868025221],[    2.19324482137337],[    1.25022677167455],
[ 0.32  ], [ 0.661985482278515],[    2.20595376556174],[    1.29079702959079],
[ 0.33  ], [ 0.684110164891425],[    2.2190761837219],[    1.33108952385356],
[ 0.34  ], [ 0.706368166678459],[    2.23259751292822],[    1.37268710344445],
[ 0.35  ], [ 0.728763557752432],[    2.24652273730565],[    1.4151425436534],
